iter	Passed	Remaining
208	963	3645
209	970	3649
210	974	3644
211	979	3641
212	984	3636
213	988	3630
214	992	3624
215	996	3618
216	1002	3615
217	1006	3609
218	1010	3603
219	1014	3598
220	1018	3588
221	1022	3582
222	1024	3571
223	1029	3564
224	1033	3560
225	1037	3553
226	1041	3547
227	1046	3542
228	1050	3536
229	1054	3531
230	1059	3525
231	1063	3519
232	1067	3515
233	1073	3513
234	1077	3507
235	1081	3500
236	1085	3495
237	1089	3487
238	1093	3483
239	1097	3474
240	1101	3469
241	1105	3464
242	1110	3458
243	1114	3452
244	1119	3448
245	1123	3442
246	1126	3435
247	1130	3426
248	1134	3420
249	1137	3413
250	1143	3413
251	1148	3409
252	1153	3405
253	1157	3399
254	1161	3393
255	1165	3387
256	1169	3382
257	1173	3375
258	1177	3369
259	1183	3367
260	1185	3357
261	1190	3352
262	1194	3346
263	1198	3342
264	1203	3338
265	1208	3333
266	1212	3328
267	1215	3320
268	1219	3314
269	1224	3309
270	1228	3304
271	1232	3299
272	1236	3293
273	1240	3287
274	1244	3281
275	1248	3275
276	1253	3270
277	1257	3265
278	1263	3265
279	1268	3262
280	1273	3257
281	1277	3252
282	1281	3247
283	1286	3242
284	1290	3236
285	1294	3230
286	1298	3225
287	1302	3220
288	1306	3214
289	1310	3209
290	1315	3204
291	1319	3199
292	1323	3194
293	1327	3188
294	1332	3183
295	1336	3178
296	1340	3172
297	1344	3167
298	1348	3162
299	1351	3154
300	1355	3148
301	1359	3143
302	1365	3140
303	1369	3135
304	1373	3130
305	1377	3123
306	1381	3119
307	1385	3113
308	1390	3108
309	1393	3102
310	1398	3097
311	1402	3091
312	1406	3086
313	1410	3081
314	1414	3075
315	1418	3071
316	1423	3066
317	1427	3060
318	1432	3058
319	1436	3053
320	1441	3048
321	1445	3043
322	1449	3038
323	1453	3033
324	1457	3027
325	1462	3022
326	1466	3017
327	1470	3013
328	1474	3008
329	1479	3002
330	1483	2997
331	1487	2992
332	1491	2987
333	1495	2981
334	1499	2976
335	1503	2970
336	1507	2965
337	1512	2961
338	1516	2956
339	1520	2951
340	1524	2945
341	1528	2941
342	1533	2936
343	1537	2931
344	1542	2927
345	1546	2922
346	1550	2918
347	1554	2912
348	1558	2907
349	1562	2902
350	1566	2897
351	1571	2893
352	1575	2888
353	1580	2884
354	1584	2879
355	1588	2874
356	1593	2869
357	1597	2864
358	1601	2858
359	1605	2853
360	1609	2848
361	1613	2843
362	1618	2839
363	1622	2834
364	1628	2832
365	1633	2829
366	1638	2825
367	1642	2820
368	1646	2815
369	1651	2812
370	1655	2806
371	1659	2801
372	1663	2796
373	1667	2791
374	1672	2786
375	1676	2781
376	1681	2778
377	1685	2773
378	1689	2768
379	1693	2763
380	1698	2759
381	1702	2754
382	1706	2749
383	1709	2743
384	1714	2738
385	1718	2733
386	1722	2728
387	1727	2724
388	1732	2721
389	1737	2716
390	1741	2712
391	1745	2707
392	1751	2704
393	1756	2701
394	1760	2696
395	1765	2692
396	1770	2688
397	1774	2683
398	1779	2680
399	1784	2676
400	1789	2673
401	1794	2669
402	1799	2665
403	1804	2661
404	1808	2657
405	1813	2652
406	1818	2649
407	1823	2646
408	1828	2641
409	1833	2637
410	1837	2633
411	1841	2628
412	1846	2623
413	1851	2620
414	1855	2615
415	1859	2610
416	1864	2607
417	1869	2602
418	1874	2598
419	1878	2593
420	1882	2589
421	1887	2584
422	1891	2580
423	1895	2575
424	1900	2571
425	1906	2568
426	1910	2563
427	1914	2558
428	1919	2554
429	1923	2550
430	1928	2545
431	1932	2540
432	1936	2535
433	1940	2531
434	1945	2526
435	1950	2522
436	1955	2519
437	1959	2514
438	1963	2509
439	1969	2506
440	1974	2502
441	1978	2497
442	1983	2494
443	1988	2489
444	1992	2484
445	1996	2480
446	2002	2476
447	2006	2472
448	2010	2467
449	2015	2463
450	2020	2459
451	2024	2454
452	2028	2449
453	2033	2445
454	2037	2440
455	2041	2435
456	2045	2430
457	2050	2426
458	2056	2423
459	2060	2418
460	2064	2414
461	2069	2410
462	2074	2405
463	2080	2403
464	2085	2399
465	2090	2395
466	2094	2390
467	2099	2386
468	2103	2381
469	2107	2376
470	2112	2372
471	2117	2368
472	2121	2363
473	2125	2358
474	2130	2354
475	2134	2350
476	2138	2345
477	2144	2341
478	2149	2337
479	2154	2333
480	2158	2329
481	2163	2325
482	2169	2321
483	2173	2317
484	2177	2312
485	2181	2307
486	2186	2302
487	2189	2297
488	2194	2293
489	2199	2289
490	2203	2284
491	2207	2279
492	2212	2275
493	2217	2270
494	2221	2266
495	2225	2261
496	2230	2257
497	2235	2253
498	2239	2248
499	2243	2243
500	2248	2239
501	2253	2235
502	2258	2231
503	2264	2229
504	2269	2224
505	2274	2220
506	2278	2216
507	2283	2211
508	2287	2206
509	2291	2201
510	2296	2197
511	2300	2192
512	2304	2187
513	2308	2183
514	2314	2179
515	2318	2174
516	2323	2170
517	2327	2166
518	2333	2162
519	2337	2157
520	2342	2153
521	2347	2149
522	2351	2144
523	2356	2140
524	2360	2135
525	2364	2130
526	2368	2126
527	2372	2121
528	2376	2116
529	2382	2112
530	2387	2108
531	2391	2103
532	2396	2099
533	2401	2095
534	2405	2090
535	2409	2086
536	2414	2081
537	2418	2076
538	2422	2072
539	2426	2067
540	2431	2062
541	2436	2058
542	2440	2053
543	2445	2049
544	2449	2045
545	2453	2040
546	2458	2035
547	2462	2031
548	2467	2026
549	2470	2021
550	2476	2018
551	2481	2013
552	2486	2009
553	2490	2005
554	2494	2000
555	2498	1995
556	2503	1991
557	2509	1987
558	2514	1984
559	2519	1979
560	2525	1976
561	2529	1971
562	2534	1967
563	2539	1963
564	2544	1958
565	2548	1953
566	2552	1949
567	2557	1945
568	2562	1940
569	2566	1936
570	2571	1932
571	2578	1929
572	2583	1925
573	2587	1920
574	2592	1916
575	2597	1912
576	2602	1907
577	2608	1904
578	2613	1900
579	2617	1895
580	2623	1891
581	2629	1888
582	2635	1885
583	2640	1880
584	2644	1876
585	2650	1872
586	2655	1868
587	2660	1863
588	2665	1859
589	2669	1855
590	2675	1851
591	2680	1847
592	2686	1843
593	2690	1839
594	2695	1834
595	2702	1832
596	2707	1827
597	2712	1823
598	2717	1818
599	2723	1815
600	2728	1811
601	2732	1806
602	2739	1803
603	2743	1798
604	2748	1794
605	2754	1790
606	2759	1786
607	2763	1781
608	2767	1776
609	2771	1771
610	2775	1766
611	2780	1762
612	2787	1759
613	2791	1754
614	2795	1750
615	2800	1745
616	2805	1741
617	2809	1736
618	2814	1732
619	2819	1727
620	2823	1723
621	2827	1718
622	2832	1713
623	2837	1709
624	2841	1704
625	2845	1699
626	2849	1695
627	2853	1690
628	2859	1686
629	2863	1681
630	2867	1677
631	2872	1672
632	2876	1667
633	2881	1663
634	2886	1658
635	2890	1654
636	2895	1650
637	2901	1646
638	2905	1641
639	2909	1636
640	2913	1631
641	2918	1627
642	2921	1622
643	2926	1617
644	2930	1612
645	2935	1608
646	2939	1603
647	2943	1598
648	2947	1594
649	2952	1589
650	2956	1584
651	2960	1580
652	2965	1576
653	2970	1571
654	2973	1566
655	2978	1561
656	2982	1557
657	2987	1552
658	2991	1547
659	2995	1543
660	2999	1538
661	3003	1533
662	3007	1528
663	3012	1524
664	3017	1519
665	3021	1515
666	3026	1510
667	3030	1506
668	3034	1501
669	3038	1496
670	3043	1492
671	3047	1487
672	3051	1482
673	3055	1478
674	3059	1473
675	3063	1468
676	3068	1463
677	3071	1458
678	3075	1454
679	3079	1449
680	3084	1444
681	3088	1440
682	3093	1435
683	3097	1431
684	3101	1426
685	3105	1421
686	3109	1416
687	3113	1412
688	3117	1407
689	3122	1402
690	3126	1398
691	3131	1393
692	3135	1389
693	3139	1384
694	3144	1379
695	3150	1375
696	3154	1371
697	3158	1366
698	3162	1361
699	3167	1357
700	3172	1353
701	3177	1348
702	3181	1344
703	3186	1339
704	3190	1335
705	3195	1330
706	3199	1325
707	3205	1322
708	3209	1317
709	3215	1313
710	3219	1308
711	3224	1304
712	3229	1300
713	3233	1295
714	3238	1290
715	3242	1285
716	3246	1281
717	3250	1276
718	3254	1271
719	3259	1267
720	3263	1262
721	3267	1257
722	3271	1253
723	3275	1248
724	3279	1243
725	3283	1239
726	3287	1234
727	3291	1229
728	3296	1225
729	3300	1220
730	3304	1216
731	3308	1211
732	3313	1206
733	3317	1202
734	3321	1197
735	3325	1192
736	3330	1188
737	3334	1183
738	3339	1179
739	3343	1174
740	3347	1170
741	3351	1165
742	3355	1160
743	3360	1156
744	3364	1151
745	3369	1147
746	3373	1142
747	3378	1138
748	3382	1133
749	3386	1128
750	3390	1124
751	3394	1119
752	3398	1114
753	3402	1110
754	3406	1105
755	3410	1100
756	3414	1096
757	3418	1091
758	3423	1086
759	3428	1082
760	3432	1077
761	3436	1073
762	3440	1068
763	3445	1064
764	3450	1059
765	3454	1055
766	3460	1051
767	3464	1046
768	3469	1042
769	3475	1038
770	3479	1033
771	3484	1029
772	3488	1024
773	3493	1020
774	3498	1015
775	3502	1011
776	3507	1006
777	3512	1002
778	3517	997
779	3521	993
780	3525	988
781	3529	983
782	3533	979
783	3538	974
784	3542	970
785	3548	966
786	3553	961
787	3558	957
788	3562	952
789	3566	948
790	3570	943
791	3575	938
792	3579	934
793	3583	929
794	3587	925
795	3592	920
796	3596	916
797	3602	911
798	3606	907
799	3610	902
800	3614	898
801	3619	893
802	3623	888
803	3627	884
804	3631	879
805	3636	875
806	3640	870
807	3644	865
808	3648	861
809	3652	856
810	3656	852
811	3661	847
812	3665	843
813	3669	838
814	3673	833
815	3677	829
816	3682	824
817	3686	820
818	3690	815
819	3694	810
820	3698	806
821	3703	801
822	3707	797
823	3711	792
824	3715	788
825	3720	783
826	3724	779
827	3728	774
828	3732	769
829	3736	765
830	3740	760
831	3744	756
832	3748	751
833	3753	747
834	3758	742
835	3763	738
836	3767	733
837	3772	729
838	3776	724
839	3780	720
840	3785	715
841	3789	711
842	3793	706
843	3797	701
844	3801	697
845	3805	692
846	3810	688
847	3815	683
848	3818	679
849	3823	674
850	3827	670
851	3831	665
852	3836	661
853	3840	656
854	3844	651
855	3848	647
856	3853	643
857	3857	638
858	3864	634
859	3868	629
860	3873	625
861	3877	620
862	3882	616
863	3887	611
864	3892	607
865	3897	603
866	3901	598
867	3906	594
868	3910	589
869	3914	584
870	3919	580
871	3923	575
872	3927	571
873	3931	566
874	3937	562
875	3943	558
876	3946	553
877	3951	549
878	3956	544
879	3960	540
880	3964	535
881	3969	531
882	3973	526
883	3978	522
884	3982	517
885	3986	512
886	3992	508
887	3997	504
888	4005	500
889	4010	495
890	4015	491
891	4019	486
892	4024	482
893	4029	477
894	4033	473
895	4038	468
896	4044	464
897	4050	460
898	4054	455
899	4061	451
900	4065	446
901	4069	442
902	4075	437
903	4079	433
904	4086	428
905	4091	424
906	4096	420
907	4100	415
908	4104	410
909	4109	406
910	4113	401
911	4118	397
912	4124	392
913	4129	388
914	4134	384
915	4138	379
916	4144	375
917	4149	370
918	4154	366
919	4158	361
920	4163	357
921	4171	352
922	4175	348
923	4180	343
924	4184	339
925	4188	334
926	4194	330
927	4198	325
928	4203	321
929	4208	316
930	4212	312
931	4218	307
932	4222	303
933	4227	298
934	4232	294
935	4237	289
936	4243	285
937	4249	280
938	4253	276
939	4258	271
940	4263	267
941	4268	262
942	4272	258
943	4277	253
944	4281	249
945	4286	244
946	4291	240
947	4296	235
948	4300	231
949	4306	226
950	4314	222
951	4319	217
952	4324	213
953	4329	208
954	4334	204
955	4339	199
956	4343	195
957	4348	190
958	4354	186
959	4358	181
960	4363	177
961	4368	172
962	4372	168
963	4377	163
964	4381	158
965	4386	154
966	4390	149
967	4395	145
968	4399	140
969	4404	136
970	4408	131
971	4413	127
972	4417	122
973	4422	118
974	4427	113
975	4432	108
976	4436	104
977	4440	99
978	4450	95
979	4454	90
980	4458	86
981	4462	81
982	4467	77
983	4472	72
984	4477	68
985	4481	63
986	4485	59
987	4490	54
988	4494	49
989	4499	45
990	4503	40
991	4507	36
992	4511	31
993	4516	27
994	4520	22
995	4524	18
996	4528	13
997	4533	9
998	4537	4
999	4542	0
