iter	Logloss
0	0.6828921703
1	0.6720597772
2	0.6617757431
3	0.6522007165
4	0.6434370689
5	0.6356882735
6	0.6272301431
7	0.6201296347
8	0.6134107172
9	0.6062566367
10	0.6001628594
11	0.5939432881
12	0.5883474851
13	0.5828840615
14	0.5772378667
15	0.5718074471
16	0.5675115879
17	0.5630939255
18	0.5589498425
19	0.5547475985
20	0.5491454634
21	0.5438884425
22	0.5386917829
23	0.5334024942
24	0.5290501393
25	0.5247777122
26	0.5206127569
27	0.5164741101
28	0.5134746358
29	0.5094157522
30	0.5058830096
31	0.5022040084
32	0.498759096
33	0.4955898532
34	0.4927858643
35	0.4908890179
36	0.4879122734
37	0.4849265519
38	0.4828035942
39	0.4805753151
40	0.4783899152
41	0.4765891853
42	0.4744250611
43	0.4728044296
44	0.4709287432
45	0.4690894247
46	0.4674758446
47	0.4663009982
48	0.4648240677
49	0.4630000167
50	0.461418426
51	0.4600244296
52	0.4587949567
53	0.4573111447
54	0.4560847789
55	0.4557255888
56	0.4547890713
57	0.4537763502
58	0.452917295
59	0.4521345277
60	0.4510883586
61	0.4501409459
62	0.4489926065
63	0.4479381698
64	0.4466878827
65	0.4456043319
66	0.444409504
67	0.4434587307
68	0.4426039859
69	0.4416350256
70	0.4407529306
71	0.4398266181
72	0.4389738946
73	0.438100459
74	0.4371763686
75	0.4364656479
76	0.4356951759
77	0.4351003793
78	0.4342627738
79	0.4337234293
80	0.4332443032
81	0.4326948193
82	0.4321928968
83	0.4316768598
84	0.4311616232
85	0.4308310008
86	0.4302361928
87	0.4296826554
88	0.4292144143
89	0.4287407139
90	0.4284154479
91	0.4278880405
92	0.4274676467
93	0.4269054554
94	0.4264441557
95	0.4260720977
96	0.4255086366
97	0.4250725954
98	0.4247274112
99	0.4243723753
100	0.4239356892
101	0.4235821287
102	0.4232862815
103	0.422892251
104	0.422540622
105	0.4222235962
106	0.4220863073
107	0.4218344663
108	0.4216043144
109	0.4212935566
110	0.4212701121
111	0.420911936
112	0.4208152311
113	0.4205543707
114	0.4202490345
115	0.4198590635
116	0.4194738638
117	0.4192335896
118	0.4188678902
119	0.4185647504
120	0.4181920643
121	0.418005484
122	0.4178498711
123	0.4174805173
124	0.4172620511
125	0.4171315516
126	0.4169340756
127	0.416715251
128	0.4167125911
129	0.4164125358
130	0.4161343209
131	0.4158090349
132	0.4156831522
133	0.4155212037
134	0.4153503752
135	0.4152451118
136	0.4152436464
137	0.4149498286
138	0.414713567
139	0.414592105
140	0.4144538203
141	0.4141056439
142	0.4140578981
143	0.4139105835
144	0.4138058046
145	0.413565433
146	0.4135583965
147	0.4133423085
148	0.4132369489
149	0.4130508471
150	0.4128741543
151	0.4127475141
152	0.4126102836
153	0.4124995648
154	0.4124115402
155	0.4123924228
156	0.4122722862
157	0.4120185427
158	0.4118208935
159	0.4116889306
160	0.4115158474
161	0.4113146211
162	0.4111442996
163	0.4111134767
164	0.4109596388
165	0.4108286186
166	0.4107521188
167	0.4106554817
168	0.410522002
169	0.4102996373
170	0.4102404853
171	0.4100252623
172	0.4098344083
173	0.4098100912
174	0.4097452185
175	0.4095720525
176	0.4094798844
177	0.4093755467
178	0.4092568313
179	0.4090389979
180	0.4088881409
181	0.408792626
182	0.4086956683
183	0.4086687709
184	0.408457962
185	0.4082471449
186	0.4082056885
187	0.4081000586
188	0.4079369254
189	0.4078148069
190	0.4077150385
191	0.4077149427
192	0.4077122244
193	0.4075021424
194	0.4072933568
195	0.4071628912
196	0.4070326259
197	0.4068628971
198	0.4065875418
199	0.4064567156
200	0.4064565938
201	0.4064269989
202	0.4063167603
203	0.4062173268
204	0.4061293674
205	0.4060523786
206	0.4059489043
207	0.4058378234
208	0.4057417962
209	0.4055656723
210	0.4055333338
211	0.4054535089
212	0.4053491578
213	0.4052816381
214	0.4051753136
215	0.4051065435
216	0.4050598594
217	0.4049716788
218	0.4048836578
219	0.4048295438
220	0.4048081765
221	0.404729441
222	0.4047294032
223	0.4045739595
224	0.4045032902
225	0.4044346637
226	0.4043691551
227	0.4042775613
228	0.4041715357
229	0.4040107228
230	0.4039512875
231	0.4039123346
232	0.4038530749
233	0.403645961
234	0.4035947513
235	0.4035495812
236	0.4035045456
237	0.4034849454
238	0.4034473723
239	0.4034431542
240	0.4033995697
241	0.4032795318
242	0.4031657876
243	0.4030296947
244	0.4029294234
245	0.4029026404
246	0.402863048
247	0.4028275443
248	0.4027870249
249	0.4027255848
250	0.4025733588
251	0.4024987169
252	0.4024038193
253	0.4023454276
254	0.402288715
255	0.4021435487
256	0.4020553674
257	0.4019448483
258	0.4018626992
259	0.4017483016
260	0.4017482541
261	0.4016148774
262	0.4015060155
263	0.4014080582
264	0.4013538968
265	0.4012659211
266	0.4010953111
267	0.401092789
268	0.4010541482
269	0.4008919222
270	0.4008066988
271	0.4007119369
272	0.4006679242
273	0.4005556263
274	0.4005522567
275	0.4004223641
276	0.4002958485
277	0.4002444108
278	0.4002175412
279	0.4001464197
280	0.4001029227
281	0.3999885927
282	0.3999804629
283	0.399891044
284	0.3997801018
285	0.3997209168
286	0.399625703
287	0.3995843299
288	0.3994811892
289	0.3994384343
290	0.3993145426
291	0.3992718364
292	0.3991667344
293	0.3991128654
294	0.3990068311
295	0.398958194
296	0.3988732162
297	0.3987954761
298	0.3987010652
299	0.3986949362
300	0.3985716171
301	0.3984393909
302	0.3983251685
303	0.3982331887
304	0.3981712218
305	0.398170977
306	0.3979996954
307	0.397849458
308	0.3978032183
309	0.3977520081
310	0.3976831963
311	0.3976540064
312	0.3975455234
313	0.3975235134
314	0.3974259986
315	0.3973215934
316	0.3972074067
317	0.3971640639
318	0.3971286656
319	0.3970274291
320	0.3969621392
321	0.396940582
322	0.3968429626
323	0.3967948325
324	0.3967750694
325	0.3966997978
326	0.3965924492
327	0.3964580879
328	0.3962017089
329	0.3961289432
330	0.3959732096
331	0.3958569939
332	0.3957958487
333	0.3957582715
334	0.3957206153
335	0.3956483201
336	0.3956260359
337	0.3954668843
338	0.3954565577
339	0.3954407198
340	0.3954360809
341	0.3953089445
342	0.3952893702
343	0.3952474569
344	0.3951341392
345	0.3950411805
346	0.3949798697
347	0.3949158672
348	0.3948805397
349	0.3947709289
350	0.3945953918
351	0.3945017369
352	0.3943756419
353	0.3942434919
354	0.3941899449
355	0.3941277885
356	0.3940310891
357	0.3939996691
358	0.3938850341
359	0.3938253981
360	0.3937284146
361	0.3936473173
362	0.3936268573
363	0.3935029656
364	0.3934242588
365	0.3933732288
366	0.3932292767
367	0.3930862201
368	0.3930103231
369	0.3929588124
370	0.3928415669
371	0.3927049868
372	0.3926762901
373	0.3926195758
374	0.3925698945
375	0.3925065736
376	0.3923789157
377	0.3922936156
378	0.3922693501
379	0.392125344
380	0.3920129894
381	0.3919338739
382	0.3918946738
383	0.3918945561
384	0.3918604902
385	0.3918326584
386	0.3917563885
